image,method,iterations,lambda,psnr,fidelity,tv,time_ms
ape,GD,200,0.1930697709,22.4632489,360.2142213,765.6530683,715.4148
ape,GD,200,0.2682695687,22.04793702,384.259164,620.1896382,625.1744
ape,GD,200,0.372759372,21.84829944,396.342913,563.3635261,657.2826
ape,GD,200,0.517947495,21.54378735,413.2576327,494.225111,703.84
ape,GD,200,0.7196856737,21.42496579,420.5758227,465.9205562,753.6024
ape,GD,200,1,21.26209786,429.938567,440.3182004,795.0063
ape,Newton,20,0.009999999776,21.3222865,9.211291401,8606.202395,2285.5751
ape,Newton,20,0.0138949547,21.80108561,17.12669904,7938.084149,2327.7122
ape,Newton,20,0.01930697821,22.43289529,31.2975123,7075.388614,1846.2315
ape,Newton,20,0.02682695724,23.21303779,55.69058586,6002.842069,2037.0205
ape,Newton,20,0.03727593645,24.02493361,94.99756383,4751.612683,2104.8073
ape,Newton,20,0.05179474503,24.5247201,151.6473896,3440.205445,2521.1228
ape,Newton,20,0.07196857035,24.31797581,220.2336804,2277.110228,2142.7271
ape,Newton,20,0.1000000015,23.56974059,286.2432115,1448.821708,1997.0918
ape,Newton,20,0.1389495432,22.78704026,337.6477308,967.1973804,2109.5524
ape,Newton,20,0.1930697709,22.13926153,375.664329,701.5190943,2216.9872
ape,Newton,20,0.2682695687,21.59250151,406.325755,542.0455568,1724.4215
ape,Newton,20,0.372759372,21.11541877,432.8933524,437.9511094,2434.8001
ape,Newton,20,0.517947495,20.68170525,457.5258696,364.4839993,2169.7061
ape,Newton,20,0.7196856737,20.24756235,483.0626787,306.6762822,1847.0273
ape,Newton,20,1,19.79142693,511.4532293,257.4467699,2252.2313
