image,epsilon,k,energy,psnr,rel_change,time_ms
barbara,0.1000000015,21,445.9630179,25.68404698,7.606347979e-08,2516.8442
barbara,0.1000000015,22,445.9630173,25.68404696,7.678857591e-08,2613.1989
barbara,0.1000000015,23,445.9630171,25.68404695,7.622245032e-08,2712.557
barbara,0.1000000015,24,445.9630181,25.68404693,7.675186919e-08,2820.8435
barbara,0.1000000015,25,445.9630184,25.68404698,7.649997606e-08,2927.403
ape,0.001000000047,0,1050.066836,20.0473124,0,0
ape,0.001000000047,1,552.0950997,24.28248008,0.1241095135,102.6142
ape,0.001000000047,2,469.1705607,24.40447138,0.0404211887,225.9007
ape,0.001000000047,3,445.0804111,24.12076153,0.01888611914,352.2712
ape,0.001000000047,4,436.0098718,23.89712065,0.01039929368,475.68
ape,0.001000000047,5,431.9802989,23.74633408,0.006313541747,594.5608
ape,0.001000000047,6,429.9688369,23.64506388,0.004108497398,712.2127
ape,0.001000000047,7,428.8744414,23.5754164,0.002819978084,829.039
ape,0.001000000047,8,428.2377196,23.52618362,0.002018294324,955.3192
ape,0.001000000047,9,427.8466771,23.49045374,0.001493809843,1074.7943
ape,0.001000000047,10,427.5956418,23.46389989,0.001136390436,1193.3965
ape,0.001000000047,11,427.4284631,23.4437501,0.0008843217154,1326.3868
ape,0.001000000047,12,427.3136089,23.42818772,0.0007013408349,1452.1964
ape,0.001000000047,13,427.2325903,23.41598409,0.0005652705997,1573.6195
ape,0.001000000047,14,427.1741329,23.40629188,0.0004619215306,1700.0023
ape,0.001000000047,15,427.1311272,23.39850712,0.000381985171,1826.138
ape,0.001000000047,16,427.0989483,23.39219298,0.0003191445167,1950.5834
ape,0.001000000047,17,427.0745126,23.38702865,0.000269019785,2072.3172
ape,0.001000000047,18,427.0557055,23.38277012,0.0002285833679,2193.8526
ape,0.001000000047,19,427.0410544,23.37923293,0.0001955744579,2322.8924
ape,0.001000000047,20,427.0295179,23.37627715,0.0001683538012,2433.8147
ape,0.001000000047,21,427.0203436,23.3737924,0.0001457478551,2549.6609
ape,0.001000000047,22,427.012982,23.37169254,0.0001267970498,2674.9434
ape,0.001000000047,23,427.0070276,23.36990769,0.0001108152247,2798.7973
ape,0.001000000047,24,427.0021755,23.36838412,9.725437319e-05,2911.873
ape,0.001000000047,25,426.9981935,23.36707829,8.565375334e-05,3031.733
ape,0.002000000095,0,1050.066836,20.0473124,0,0
ape,0.002000000095,1,552.1010844,24.28247719,0.1241073423,121.8239
ape,0.002000000095,2,469.1972379,24.40476048,0.04040670784,239.3629
ape,0.002000000095,3,445.1433591,24.12194929,0.0188487211,366.3904
ape,0.002000000095,4,436.1179437,23.89961298,0.01034409349,494.1764
ape,0.002000000095,5,432.1346891,23.75024531,0.006253288185,620.2043
ape,0.002000000095,6,430.166113,23.65037748,0.004047849014,737.3814
ape,0.002000000095,7,429.1087927,23.58209281,0.002759669057,858.3657
ape,0.002000000095,8,428.5026771,23.53416578,0.001959029005,977.1733
ape,0.002000000095,9,428.136316,23.49967972,0.001436239124,1098.8274
ape,0.002000000095,10,427.9049781,23.47430951,0.00108089826,1213.4767
ape,0.002000000095,11,427.7534809,23.45528505,0.000831218916,1327.4474
ape,0.002000000095,12,427.6511543,23.44078546,0.0006509025311,1447.8465
ape,0.002000000095,13,427.5801891,23.4295794,0.0005175995912,1578.8206
ape,0.002000000095,14,427.5298427,23.42081456,0.0004170451811,1748.5478
ape,0.002000000095,15,427.493412,23.4138879,0.0003398586336,1902.6705
ape,0.002000000095,16,427.4665884,23.40836211,0.0002796710611,2029.1783
ape,0.002000000095,17,427.4465322,23.40391704,0.0002321427419,2139.5338
ape,0.002000000095,18,427.4313289,23.40031413,0.0001941408198,2254.1992
ape,0.002000000095,19,427.4196617,23.39737397,0.0001634546988,2366.7307
ape,0.002000000095,20,427.4106084,23.39495948,0.0001384307911,2468.2442
ape,0.002000000095,21,427.4035134,23.39296508,0.0001178679099,2586.4793
ape,0.002000000095,22,427.3979023,23.39130896,0.0001008414471,2694.6777
ape,0.002000000095,23,427.3934286,23.38992693,8.666522151e-05,2803.1344
ape,0.002000000095,24,427.3898327,23.38876976,7.476908431e-05,2918.0306
ape,0.002000000095,25,427.3869245,23.38779596,6.474950388e-05,3031.6827
ape,0.004999999888,0,1050.066836,20.0473124,0,0
ape,0.004999999888,1,552.1425519,24.28244059,0.124092473,116.7347
ape,0.004999999888,2,469.3727968,24.40654392,0.04031589518,227.8103
ape,0.004999999888,3,445.5128514,24.12857438,0.01866057056,349.3719
ape,0.004999999888,4,436.6845551,23.91242192,0.01010889868,467.2481
ape,0.004999999888,5,432.8728059,23.76933898,0.006010720034,584.7459
ape,0.004999999888,6,431.040961,23.67540523,0.003812133198,697.9906
ape,0.004999999888,7,430.0870437,23.6125861,0.002536812053,817.9093
ape,0.004999999888,8,429.5575417,23.56962502,0.001752370647,932.6125
ape,0.004999999888,9,429.2478533,23.5396107,0.001247171579,1049.2589
ape,0.004999999888,10,429.0586567,23.51823539,0.0009095002859,1159.943
ape,0.004999999888,11,428.9387574,23.50275553,0.0006767902819,1277.9906
ape,0.004999999888,12,428.8603827,23.49138219,0.000512237955,1389.2507
ape,0.004999999888,13,428.8077665,23.48291969,0.0003933292904,1508.2552
ape,0.004999999888,14,428.7716218,23.47655346,0.0003057885044,1619.6237
ape,0.004999999888,15,428.7462927,23.47171687,0.0002402883158,1733.9548
ape,0.004999999888,16,428.7282292,23.46800954,0.0001906032425,1847.5431
ape,0.004999999888,17,428.7151487,23.46514573,0.000152449746,1962.5155
ape,0.004999999888,18,428.7055481,23.46291705,0.0001228291123,2072.6938
ape,0.004999999888,19,428.6984151,23.461172,9.961806441e-05,2187.8756
ape,0.004999999888,20,428.6930601,23.45979708,8.127598679e-05,2304.7177
ape,0.004999999888,21,428.6890012,23.45870796,6.666631975e-05,2425.8765
ape,0.004999999888,22,428.6858979,23.45784106,5.494982093e-05,2542.9173
ape,0.004999999888,23,428.6835071,23.45714806,4.549360245e-05,2663.249
ape,0.004999999888,24,428.6816526,23.45659129,3.78214476e-05,2782.7991
ape,0.004999999888,25,428.6802034,23.45614226,3.15586189e-05,2898.763
ape,0.009999999776,0,1050.066836,20.0473124,0,0
ape,0.009999999776,1,552.2884194,24.28221568,0.124041019,110.7315
ape,0.009999999776,2,469.9404706,24.41171114,0.0400440591,225.1099
ape,0.009999999776,3,446.5718278,24.14601966,0.01820655133,337.6551
ape,0.009999999776,4,438.1554733,23.94392136,0.009605623443,450.1934
ape,0.009999999776,5,434.6440103,23.81410814,0.00552868143,573.4928
ape,0.009999999776,6,433.0180367,23.7318782,0.003378616228,687.674
ape,0.009999999776,7,432.2023847,23.67906848,0.002159367293,806.1226
ape,0.009999999776,8,431.7660788,23.64450674,0.001429613981,925.2452
ape,0.009999999776,9,431.5200934,23.62145729,0.0009737957134,1051.8277
ape,0.009999999776,10,431.3752409,23.60581841,0.0006790156513,1167.2295
ape,0.009999999776,11,431.2868062,23.59504401,0.0004828190713,1282.7393
ape,0.009999999776,12,431.2311587,23.58751995,0.0003490461358,1402.4873
ape,0.009999999776,13,431.1952317,23.58220283,0.0002559518477,1527.7101
ape,0.009999999776,14,431.1715246,23.57840519,0.0001900120954,1662.6147
ape,0.009999999776,15,431.1555871,23.57566673,0.00014258679,1788.6785
ape,0.009999999776,16,431.1446969,23.57367529,0.0001080129976,1912.9248
ape,0.009999999776,17,431.1371447,23.57221592,8.250942369e-05,2036.3407
ape,0.009999999776,18,431.131845,23.57113862,6.349610038e-05,2163.3379
ape,0.009999999776,19,431.1280822,23.57033841,4.919015045e-05,2287.9837
ape,0.009999999776,20,431.1253845,23.56974059,3.833307523e-05,2417.3336
ape,0.009999999776,21,431.1234322,23.56929119,3.003372457e-05,2546.4703
ape,0.009999999776,22,431.1220088,23.56895188,2.364439025e-05,2678.9153
ape,0.009999999776,23,431.1209621,23.56869465,1.869555139e-05,2807.639
ape,0.009999999776,24,431.120188,23.56849837,1.484120128e-05,2935.3668
ape,0.009999999776,25,431.1196121,23.56834827,1.182638333e-05,3048.4093
ape,0.01999999955,0,1050.066836,20.0473124,0,0
ape,0.01999999955,1,552.854576,24.28087617,0.1238463718,116.641
ape,0.01999999955,2,471.8749656,24.42646486,0.03920899612,240.4058
ape,0.01999999955,3,449.7726233,24.19232322,0.01706464977,367.295
ape,0.01999999955,4,442.2309637,24.02231547,0.008491144276,495.7459
ape,0.01999999955,5,439.2646846,23.91986356,0.004574032948,619.4201
ape,0.01999999955,6,437.9685509,23.85944496,0.002606512484,758.3142
ape,0.01999999955,7,437.3543489,23.82348762,0.001550687313,952.8683
ape,0.01999999955,8,437.0440643,23.80174107,0.00095467984,1081.4079
ape,0.01999999955,9,436.8791,23.78836521,0.0006043227147,1272.5486
ape,0.01999999955,10,436.7877093,23.78000642,0.0003914295989,1455.0631
ape,0.01999999955,11,436.7353548,23.77470734,0.0002584577633,1564.8094
ape,0.01999999955,12,436.7045211,23.77130462,0.0001734535793,1679.859
ape,0.01999999955,13,436.6859343,23.76909439,0.0001180356099,1800.5335
ape,0.01999999955,14,436.6745064,23.76764372,8.128784016e-05,1934.1335
ape,0.01999999955,15,436.6673591,23.76668288,5.656538058e-05,2064.6417
ape,0.01999999955,16,436.6628227,23.76604109,3.971955328e-05,2185.9302
ape,0.01999999955,17,436.6599048,23.76560911,2.811441059e-05,2303.8966
ape,0.01999999955,18,436.6580062,23.76531629,2.004181997e-05,2419.1095
ape,0.01999999955,19,436.6567581,23.76511661,1.437807476e-05,2536.5807
ape,0.01999999955,20,436.6559279,23.76497946,1.037429996e-05,2677.9372
ape,0.01999999955,21,436.6553734,23.76488489,7.524277021e-06,2783.2992
ape,0.01999999955,22,436.6549986,23.76481948,5.483142549e-06,2940.3261
ape,0.01999999955,23,436.6547448,23.76477377,4.014518581e-06,3153.2782
ape,0.01999999955,24,436.6545694,23.76474187,2.951112601e-06,3281.5791
ape,0.01999999955,25,436.6544502,23.76471947,2.178079412e-06,3403.5669
ape,0.05000000075,0,1050.066836,20.0473124,0,0
ape,0.05000000075,1,556.414388,24.26790326,0.1226684112,123.7923
ape,0.05000000075,2,481.5652761,24.47489701,0.03568485163,251.1752
ape,0.05000000075,3,463.6191509,24.33848068,0.01341545596,437.6947
ape,0.05000000075,4,458.3254533,24.24918358,0.005637334767,593.578
ape,0.05000000075,5,456.5228335,24.20363375,0.00255409198,676.5562
ape,0.05000000075,6,455.84083,24.18122261,0.001224840443,757.4264
ape,0.05000000075,7,455.5620375,24.17015478,0.0006137054609,837.7504
ape,0.05000000075,8,455.4412598,24.16461579,0.0003182230429,925.0147
ape,0.05000000075,9,455.3865543,24.16180191,0.0001695663176,1012.4598
ape,0.05000000075,10,455.3608882,24.16035166,9.23670253e-05,1094.526
ape,0.05000000075,11,455.3484964,24.15959453,5.123435723e-05,1170.754
ape,0.05000000075,12,455.3423685,24.15919442,2.885452012e-05,1254.091
ape,0.05000000075,13,455.3392768,24.1589808,1.646223207e-05,1355.4152
ape,0.05000000075,14,455.3376878,24.15886561,9.498746453e-06,1458.956
ape,0.05000000075,15,455.3368615,24.15880305,5.535338643e-06,1561.1136
ape,0.05000000075,16,455.3364235,24.15876873,3.255492953e-06,1664.0253
ape,0.05000000075,17,455.3361903,24.15874981,1.930057612e-06,1773.7856
ape,0.05000000075,18,455.3360633,24.15873932,1.154996655e-06,1870.6864
ape,0.05000000075,19,455.3359946,24.15873347,6.988823577e-07,1963.9465
ape,0.05000000075,20,455.3359561,24.15873017,4.299391898e-07,2073.6192
ape,0.05000000075,21,455.3359352,24.15872828,2.734181145e-07,2186.4634
ape,0.05000000075,22,455.3359236,24.15872721,1.857843753e-07,2289.9334
ape,0.05000000075,23,455.3359164,24.15872661,1.40333867e-07,2388.9987
ape,0.05000000075,24,455.3359121,24.15872628,1.176694857e-07,2481.9574
ape,0.05000000075,25,455.3359104,24.15872611,1.086780535e-07,2584.9855
ape,0.1000000015,0,1050.066836,20.0473124,0,0
ape,0.1000000015,1,566.5937368,24.21642197,0.1194064437,94.5044
ape,0.1000000015,2,503.4738929,24.50563551,0.0293101112,200.3958
ape,0.1000000015,3,491.2083833,24.4738075,0.008728609697,304.1897
ape,0.1000000015,4,488.2762141,24.4495374,0.002896998676,406.5964
ape,0.1000000015,5,487.4666546,24.43906724,0.001043897949,514.2103
ape,0.1000000015,6,487.219679,24.43489268,0.0003999472504,649.5719
ape,0.1000000015,7,487.1387734,24.4332445,0.000160469369,767.3731
ape,0.1000000015,8,487.1108214,24.4325893,6.673331382e-05,872.5854
ape,0.1000000015,9,487.1007556,24.43232593,2.85644131e-05,987.4134
ape,0.1000000015,10,487.0970069,24.43221886,1.252417179e-05,1079.3387
ape,0.1000000015,11,487.0955709,24.43217475,5.606100333e-06,1169.4806
ape,0.1000000015,12,487.0950077,24.43215641,2.556264396e-06,1277.8588
ape,0.1000000015,13,487.0947836,24.43214867,1.18571277e-06,1396.7905
ape,0.1000000015,14,487.0946909,24.4321454,5.612673513e-07,1517.9384
ape,0.1000000015,15,487.0946548,24.43214405,2.755398986e-07,1644.2689
ape,0.1000000015,16,487.094638,24.43214342,1.487977553e-07,1762.8343
ape,0.1000000015,17,487.0946301,24.43214312,9.866656562e-08,1881.3328
ape,0.1000000015,18,487.0946283,24.43214298,8.268125906e-08,1999.7713
ape,0.1000000015,19,487.0946263,24.432143,7.819118244e-08,2115.8423
ape,0.1000000015,20,487.0946267,24.43214297,7.787398327e-08,2236.4656
ape,0.1000000015,21,487.0946253,24.43214293,7.637012984e-08,2355.0707
ape,0.1000000015,22,487.0946259,24.43214292,7.615448255e-08,2467.0967
ape,0.1000000015,23,487.0946243,24.43214286,7.714003047e-08,2598.4316
ape,0.1000000015,24,487.0946252,24.43214292,7.663707757e-08,2723.9224
ape,0.1000000015,25,487.094626,24.43214289,7.663074297e-08,2842.6577
