image,sigma,noisy_psnr,method,iterations,lambda,psnr,time_ms
cameraman,0.200000003,14.83115463,GD,200,0.01584893279,16.10856374,2850.7069
cameraman,0.200000003,14.83115463,GD,200,0.02511886507,16.88293356,2446.2099
cameraman,0.200000003,14.83115463,GD,200,0.03981071711,18.12848541,2284.3183
cameraman,0.200000003,14.83115463,GD,200,0.06309573352,20.0757315,1521.1796
cameraman,0.200000003,14.83115463,GD,200,0.1000000015,22.25819386,1565.4871
cameraman,0.200000003,14.83115463,GD,200,0.1584893167,23.41062708,4125.6019
cameraman,0.200000003,14.83115463,GD,200,0.2511886358,23.25414252,2598.1401
cameraman,0.200000003,14.83115463,GD,200,0.3981071711,22.53818682,8651.1092
cameraman,0.200000003,14.83115463,GD,200,0.630957365,22.39201551,3200.4197
cameraman,0.200000003,14.83115463,GD,200,1,22.08764454,1762.1306
cameraman,0.200000003,14.83115463,Newton,15,0.009999999776,15.62876287,4121.1823
cameraman,0.200000003,14.83115463,Newton,15,0.01584893279,16.10706974,4142.6904
cameraman,0.200000003,14.83115463,Newton,15,0.02511886507,16.87986794,5078.2615
cameraman,0.200000003,14.83115463,Newton,15,0.03981071711,18.12696475,4926.6987
cameraman,0.200000003,14.83115463,Newton,15,0.06309573352,20.06380964,3711.9259
cameraman,0.200000003,14.83115463,Newton,15,0.1000000015,22.44947165,3292.9925
cameraman,0.200000003,14.83115463,Newton,15,0.1584893167,23.39338059,4874.4478
cameraman,0.200000003,14.83115463,Newton,15,0.2511886358,22.45447779,4143.9386
cameraman,0.200000003,14.83115463,Newton,15,0.3981071711,21.16332794,3804.5253
cameraman,0.200000003,14.83115463,Newton,15,0.630957365,19.82925811,5305.894
cameraman,0.200000003,14.83115463,Newton,15,1,18.65561338,5732.101
barbara,0.05000000075,26.04514391,GD,200,0.009999999776,28.22615362,5440.1951
barbara,0.05000000075,26.04514391,GD,200,0.01584893279,29.10522877,6016.1283
barbara,0.05000000075,26.04514391,GD,200,0.02511886507,29.56556972,2892.3062
barbara,0.05000000075,26.04514391,GD,200,0.03981071711,28.71015892,1429.184
barbara,0.05000000075,26.04514391,GD,200,0.06309573352,26.95816229,1327.526
barbara,0.05000000075,26.04514391,GD,200,0.1000000015,25.54100733,1449.7156
barbara,0.05000000075,26.04514391,GD,200,0.1584893167,24.46679913,1485.6582
barbara,0.05000000075,26.04514391,GD,200,0.2511886358,23.80903508,1633.9624
barbara,0.05000000075,26.04514391,GD,200,0.3981071711,23.39796679,1549.6071
barbara,0.05000000075,26.04514391,GD,200,0.630957365,23.00889765,1636.4209
barbara,0.05000000075,26.04514391,GD,200,1,22.90721405,1698.5603
barbara,0.05000000075,26.04514391,Newton,15,0.009999999776,28.20210171,4986.6525
barbara,0.05000000075,26.04514391,Newton,15,0.01584893279,29.07335753,3557.2816
barbara,0.05000000075,26.04514391,Newton,15,0.02511886507,29.57159399,3274.2502
barbara,0.05000000075,26.04514391,Newton,15,0.03981071711,28.82071542,3833.2826
barbara,0.05000000075,26.04514391,Newton,15,0.06309573352,27.03721986,3504.0375
barbara,0.05000000075,26.04514391,Newton,15,0.1000000015,25.27799977,3219.8151
barbara,0.05000000075,26.04514391,Newton,15,0.1584893167,24.06617148,4461.3918
barbara,0.05000000075,26.04514391,Newton,15,0.2511886358,23.07866227,3418.3347
barbara,0.05000000075,26.04514391,Newton,15,0.3981071711,22.08370297,3115.4672
barbara,0.05000000075,26.04514391,Newton,15,0.630957365,21.05341367,4511.3959
barbara,0.05000000075,26.04514391,Newton,15,1,20.01887338,3549.5183
barbara,0.1000000015,20.09411666,GD,200,0.009999999776,21.49309988,3635.3398
barbara,0.1000000015,20.09411666,GD,200,0.01584893279,22.30878642,2440.6889
barbara,0.1000000015,20.09411666,GD,200,0.02511886507,23.53406623,2291.7881
barbara,0.1000000015,20.09411666,GD,200,0.03981071711,25.07123459,1725.1304
barbara,0.1000000015,20.09411666,GD,200,0.06309573352,25.8861305,1328.9776
barbara,0.1000000015,20.09411666,GD,200,0.1000000015,25.16580752,1606.9418
barbara,0.1000000015,20.09411666,GD,200,0.1584893167,24.36483077,1466.2824
barbara,0.1000000015,20.09411666,GD,200,0.2511886358,23.69320713,1527.9147
barbara,0.1000000015,20.09411666,GD,200,0.3981071711,23.32845629,1602.5584
barbara,0.1000000015,20.09411666,GD,200,0.630957365,22.97000052,2052.709
barbara,0.1000000015,20.09411666,GD,200,1,22.69059662,1929.0932
barbara,0.1000000015,20.09411666,Newton,15,0.009999999776,21.48830062,2663.0703
barbara,0.1000000015,20.09411666,Newton,15,0.01584893279,22.30000379,4223.2332
barbara,0.1000000015,20.09411666,Newton,15,0.02511886507,23.52111351,4209.3278
barbara,0.1000000015,20.09411666,Newton,15,0.03981071711,25.05584744,2941.3153
barbara,0.1000000015,20.09411666,Newton,15,0.06309573352,25.91094952,3054.042
barbara,0.1000000015,20.09411666,Newton,15,0.1000000015,25.15334456,1321.618
barbara,0.1000000015,20.09411666,Newton,15,0.1584893167,24.04381952,1431.2275
barbara,0.1000000015,20.09411666,Newton,15,0.2511886358,23.07543634,1670.8147
barbara,0.1000000015,20.09411666,Newton,15,0.3981071711,22.08655744,1830.8188
barbara,0.1000000015,20.09411666,Newton,15,0.630957365,21.05085384,1815.9635
barbara,0.1000000015,20.09411666,Newton,15,1,20.01147553,1786.5685
barbara,0.150000006,16.7435357,GD,200,0.009999999776,17.74766904,1215.7694
barbara,0.150000006,16.7435357,GD,200,0.01584893279,18.35055263,1279.953
barbara,0.150000006,16.7435357,GD,200,0.02511886507,19.32004093,1174.003
barbara,0.150000006,16.7435357,GD,200,0.03981071711,20.83498247,1047.6042
barbara,0.150000006,16.7435357,GD,200,0.06309573352,22.9188847,668.8094
barbara,0.150000006,16.7435357,GD,200,0.1000000015,24.19942743,704.9657
barbara,0.150000006,16.7435357,GD,200,0.1584893167,23.97133201,716.1806
barbara,0.150000006,16.7435357,GD,200,0.2511886358,23.51850487,673.4029
barbara,0.150000006,16.7435357,GD,200,0.3981071711,23.24337538,684.5695
barbara,0.150000006,16.7435357,GD,200,0.630957365,22.8553509,782.0645
barbara,0.150000006,16.7435357,GD,200,1,22.64867429,806.6321
barbara,0.150000006,16.7435357,Newton,15,0.009999999776,17.74607933,1971.2759
barbara,0.150000006,16.7435357,Newton,15,0.01584893279,18.34778241,1823.0257
barbara,0.150000006,16.7435357,Newton,15,0.02511886507,19.31478659,1663.8257
barbara,0.150000006,16.7435357,Newton,15,0.03981071711,20.83048548,1643.4757
barbara,0.150000006,16.7435357,Newton,15,0.06309573352,22.88414193,1712.2876
barbara,0.150000006,16.7435357,Newton,15,0.1000000015,24.27173499,1793.4609
barbara,0.150000006,16.7435357,Newton,15,0.1584893167,23.87932948,1714.8796
barbara,0.150000006,16.7435357,Newton,15,0.2511886358,22.99517809,1725.6555
barbara,0.150000006,16.7435357,Newton,15,0.3981071711,22.02254161,1623.3937
barbara,0.150000006,16.7435357,Newton,15,0.630957365,20.98478998,1493.3239
barbara,0.150000006,16.7435357,Newton,15,1,19.94587652,1766.1654
barbara,0.200000003,14.51757593,GD,200,0.009999999776,15.31009656,1095.7424
barbara,0.200000003,14.51757593,GD,200,0.01584893279,15.78717002,1043.8264
barbara,0.200000003,14.51757593,GD,200,0.02511886507,16.5610298,1088.5879
barbara,0.200000003,14.51757593,GD,200,0.03981071711,17.81497412,1094.8421
barbara,0.200000003,14.51757593,GD,200,0.06309573352,19.79888556,810.8366
barbara,0.200000003,14.51757593,GD,200,0.1000000015,22.1393671,573.1749
barbara,0.200000003,14.51757593,GD,200,0.1584893167,23.30857483,742.5526
barbara,0.200000003,14.51757593,GD,200,0.2511886358,23.15592396,619.9157
barbara,0.200000003,14.51757593,GD,200,0.3981071711,22.79436709,730.4859
barbara,0.200000003,14.51757593,GD,200,0.630957365,22.4976327,841.9947
barbara,0.200000003,14.51757593,GD,200,1,22.1678016,828.6958
barbara,0.200000003,14.51757593,Newton,15,0.009999999776,15.30930879,1901.1036
barbara,0.200000003,14.51757593,Newton,15,0.01584893279,15.78584272,1887.155
barbara,0.200000003,14.51757593,Newton,15,0.02511886507,16.55901052,1751.8096
barbara,0.200000003,14.51757593,Newton,15,0.03981071711,17.8166777,1635.9548
barbara,0.200000003,14.51757593,Newton,15,0.06309573352,19.79805949,1580.1775
barbara,0.200000003,14.51757593,Newton,15,0.1000000015,22.28296251,1638.85
barbara,0.200000003,14.51757593,Newton,15,0.1584893167,23.36012754,1647.7319
barbara,0.200000003,14.51757593,Newton,15,0.2511886358,22.78138996,1717.823
barbara,0.200000003,14.51757593,Newton,15,0.3981071711,21.85060074,1681.9664
barbara,0.200000003,14.51757593,Newton,15,0.630957365,20.82167329,1555.9604
barbara,0.200000003,14.51757593,Newton,15,1,19.79593386,1537.824
ape,0.05000000075,26.04400923,GD,200,0.009999999776,27.72094783,1015.7039
ape,0.05000000075,26.04400923,GD,200,0.01584893279,28.17721975,1021.7909
ape,0.05000000075,26.04400923,GD,200,0.02511886507,28.04153654,822.4764
ape,0.05000000075,26.04400923,GD,200,0.03981071711,26.82853811,673.3489
ape,0.05000000075,26.04400923,GD,200,0.06309573352,25.00736192,641.2904
ape,0.05000000075,26.04400923,GD,200,0.1000000015,23.65724311,681.6063
ape,0.05000000075,26.04400923,GD,200,0.1584893167,22.77351046,703.0426
ape,0.05000000075,26.04400923,GD,200,0.2511886358,22.18302809,779.2329
ape,0.05000000075,26.04400923,GD,200,0.3981071711,21.83876187,807.1357
ape,0.05000000075,26.04400923,GD,200,0.630957365,21.46658394,752.0192
ape,0.05000000075,26.04400923,GD,200,1,21.36695711,879.9204
ape,0.05000000075,26.04400923,Newton,15,0.009999999776,27.71234306,1840.5071
ape,0.05000000075,26.04400923,Newton,15,0.01584893279,28.17826198,1508.0544
ape,0.05000000075,26.04400923,Newton,15,0.02511886507,28.08864689,1592.5008
ape,0.05000000075,26.04400923,Newton,15,0.03981071711,26.9234814,1509.1696
ape,0.05000000075,26.04400923,Newton,15,0.06309573352,25.11976826,1479.7281
ape,0.05000000075,26.04400923,Newton,15,0.1000000015,23.55160767,1490.8295
ape,0.05000000075,26.04400923,Newton,15,0.1584893167,22.48577172,1789.8643
ape,0.05000000075,26.04400923,Newton,15,0.2511886358,21.68463329,1752.3298
ape,0.05000000075,26.04400923,Newton,15,0.3981071711,21.0241281,1754.1568
ape,0.05000000075,26.04400923,Newton,15,0.630957365,20.42228758,1486.0952
ape,0.05000000075,26.04400923,Newton,15,1,19.79386477,1791.3541
ape,0.1000000015,20.0473124,GD,200,0.009999999776,21.32565554,1000.0845
ape,0.1000000015,20.0473124,GD,200,0.01584893279,22.03991636,1243.091
ape,0.1000000015,20.0473124,GD,200,0.02511886507,23.05111256,1328.9176
ape,0.1000000015,20.0473124,GD,200,0.03981071711,24.15857533,819.4949
ape,0.1000000015,20.0473124,GD,200,0.06309573352,24.44727819,437.2506
ape,0.1000000015,20.0473124,GD,200,0.1000000015,23.568517,578.2751
ape,0.1000000015,20.0473124,GD,200,0.1584893167,22.75072373,646.1668
ape,0.1000000015,20.0473124,GD,200,0.2511886358,22.1595574,761.234
ape,0.1000000015,20.0473124,GD,200,0.3981071711,21.77336381,641.1387
ape,0.1000000015,20.0473124,GD,200,0.630957365,21.4379598,691.73
ape,0.1000000015,20.0473124,GD,200,1,21.26209786,771.8674
ape,0.1000000015,20.0473124,Newton,15,0.009999999776,21.32228645,1871.1191
ape,0.1000000015,20.0473124,Newton,15,0.01584893279,22.03445985,1734.7505
ape,0.1000000015,20.0473124,Newton,15,0.02511886507,23.04806248,1665.0643
ape,0.1000000015,20.0473124,Newton,15,0.03981071711,24.16480096,1590.9125
ape,0.1000000015,20.0473124,Newton,15,0.06309573352,24.49321153,1557.6636
ape,0.1000000015,20.0473124,Newton,15,0.1000000015,23.57566673,1455.5772
ape,0.1000000015,20.0473124,Newton,15,0.1584893167,22.51615369,1636.3419
ape,0.1000000015,20.0473124,Newton,15,0.2511886358,21.69685587,1610.021
ape,0.1000000015,20.0473124,Newton,15,0.3981071711,21.02682227,1818.5897
ape,0.1000000015,20.0473124,Newton,15,0.630957365,20.42344815,1682.1823
ape,0.1000000015,20.0473124,Newton,15,1,19.79211167,1555.7468
ape,0.150000006,16.62777749,GD,200,0.009999999776,17.57852105,1407.4422
ape,0.150000006,16.62777749,GD,200,0.01584893279,18.14137686,1423.8712
